Tooth #,CH (µm),FABL (µm),BW (µm),PDM (dt/mm),ADM (µm),
,Crown Height,Fore Aft Basal Length,Basal Width,Posterior denticles per millimeter,Posterior denticles per millimeter,
Average,,,,,,
HRS95084,3567,2106,892,4.60,NA,Maybe slight ant. Denticles
HRS95085,3445,2907,868,3.12,NA,
HRS95086,3296,2276,869,3.94,NA,Sm. Denticles
HRS95087,3920,3048,1008,2.63,NA,
HRS95088,3960,2760,956,2.63,NA,One ridge toward the anterior carina.
HRS95089,3736,2720,1324,4.27,NA,No ant. Denticles
HRS95090,3396,2388,1012,2.72,NA,
HRS95091,2860,2296,848,3.04,NA,2 wear spots on sides
HRS95092,3280,2280,860,2.94,NA,
HRS95093,2992,2032,852,4.25,NA,Sm. Ant. Denticles
HRS95094,2384,2228,752,3.07,NA,Sm. Post denticles
HRS95095,2900,2616,828,3.3,NA,
HRS95096,2784,2096,888,2.64,NA,
HRS95097,3952,2836,1152,2.21,NA,
HRS95098,3044,2168,828,3.37,NA,
HRS95099,3480,2636,864,3.47,NA,
HRS95100,3807,2785,1029,1.72,NA,Top 1/2 of tooth; Base Broken
HRS95101,3528,2624,950,2.56,NA,
HRS95102,4175,4000,1860,2.51,NA,"antierior dentition near base, Troodon? Wide base"
HRS95103,4580,3148,1237,1.83,NA,
HRS95104,2794,2219,781,3.33,NA,
HRS95105,3652,2468,992,2.51,NA,
HRS95106,2500,2316,752,3.69,NA,
HRS95107,4888,3052,1384,1.64,NA,pitting on both sides but definitely more pronounced on the lingual side; Super Over Sized
HRS95108,3476,2444,780,3.25,NA,
HRS95109,3524,2968,1096,1.14,NA,Heavily worn tip
HRS95110,2344,1972,768,3.56,NA,
HRS95111,3271,2899,929,2.88,NA,
HRS95112,2644,2076,836,3.07,NA,Top Broken
HRS95113,3800,1584,1000,NA,NA,Junk - dump
HRS95114,4280,2604,988,2.12,NA,
HRS95115,4992,3020,1244,1.74,NA,
HRS95116,3132,2220,872,4.08,6.93,
HRS95117,2716,2020,820,3.61,NA,
HRS95118,3228,2204,904,3.24,NA,
HRS95119,4164,2884,1060,2.68,NA,
HRS95120,3880,2752,1060,2.82,NA,
HRS95121,3708,2180,852,2.28,NA,Some wear
HRS95122,4972,3248,1292,1.61,NA,missing the anterior carina
HRS95123,4216,2692,960,2.6,NA,
HRS95124,3724,2800,932,2.89,NA,
HRS95125,3416,2592,884,2.99,NA,Lateral scrape on base
HRS95126,4340,2400,1256,1.77,NA,
HRS95127,4564,2844,1112,1.94,NA,
HRS95128,3696,2556,876,2.48,NA,Base Broken
HRS95129,3904,3012,1008,3.07,NA,
HRS95130,5048,3360,1258,1.81,NA,Over Sized
HRS95131,4466,2439,1085,4.14,8.11,Base Broken
HRS95132,3229,1992,958,2.96,NA,
HRS95133,4724,2828,1123,1.91,NA,
HRS95134,2541,2114,848,3.4,NA,
HRS95135,2942,2486,709,3.48,NA,
HRS95136,4310,2823,1009,2.9,NA,
HRS95137,4208,2739,1233,2.52,NA,Large worn spot
HRS95138,3917,2912,1047,3.01,NA,"Eroded, tip gone"
HRS95139,2912,2182,906,3.36,NA,
HRS95140,4158,2300,1021,5.25,NA,
HRS95141,4491,2675,1013,2.47,NA,large denticles
HRS95142,4237,2599,1034,NA,NA,Base broken
HRS95143,4166,2975,1068,2.75,NA,
HRS95144,3664,3088,827,1.7,NA,Top 1/2 of tooth; Base Broken
HRS95145,3731,2071,941,4.46,NA,Tip and base broken
HRS95146,3127,2215,798,3.28,NA,
HRS95147,3955,2658,1034,2.53,NA,
HRS95148,3115,2296,882,2.52,NA,Worn tip
HRS95149,3373,2532,908,3.02,NA,
HRS95150,3280,2367,810,3.48,NA,
HRS95151,3351,2692,988,3.63,NA,
HRS95152,3520,2709,895,2.88,NA,
HRS95153,2642,1988,675,4.15,NA,
HRS95154,1912,1836,709,4.16,NA,
HRS95155,3850,2266,1000,2.38,NA,
HRS95156,3887,2435,988,NA,NA,
HRS95157,3406,2490,878,3.35,NA,
HRS95158,3761,2397,903,3.16,NA,
HRS95159,3865,2669,1296,1.93,NA,Tip broken
HRS95160,4956,3326,1439,1.58,NA,Over-Sized
HRS95161,2756,2464,810,3.4,NA,
HRS95162,3432,2777,908,3.03,NA,
HRS95163,3508,2456,937,2.3,NA,
